Name,Year,Spoiler,OpenAI analysis,Was it right?
endoh2,2013,JPEG quine that expands and inverts,"

This program is an implementation of an International Obfuscated C Code Contest (IOCCC) challenge from 2013. It reads an input string from the keyboard and prints out a series of characters based on the input string.",Close enough.
endoh4,2013,ASCII solid rotation,"

This program is a 3D graphic animation program that uses a C language. It uses a combination of mathematical functions and C language to generate a 3D graphic animation.",Close enough.
endoh3,2013,play music with ABC notation,"

I don't know.",
morgan1,2013,X11 based Solar system simulator,"

I don't know.",
cable3,2013,IBM PC emulator,"

This program is a C implementation of a game. It uses the SDL library for graphics and user input. It includes functions for reading and writing data, handling user input, and drawing graphics. The program also includes logic for game logic, such as scoring and movement.",Wrong!
misaka,2013,horizontal or vertical file concat,"

I don't know.",
cable2,2013,OCR in quick brown fox ASCII art,"

I don't know.",
dlowe,2013,ASCII spark line graph,"

I don't know.",
mills,2013,HTTP server ray tracing a timestamp,"

This program appears to be a program that generates a graphic image based on the current time.",Wrong!
endoh1,2013,SKI Combinator Calculus tool,"

This program is a compiler-like program written in C. It is designed to generate a function that can be used to apply a certain operation to a set of data. The program works by creating a series of functions that can be used to apply the operation to the data. The program also includes a main function to execute the generated function.",Close enough.
hou,2013,ray tracer,Error: Too many tokens,
robison,2013,multi-precision arithmetic,"

I don't know.",
morgan2,2013,X11 & ASCII domino matching game,"

This program appears to be a C program that creates a graphical window with a game inside. It appears to be a game where the user has to match a pattern of colored circles in the correct order.",Close enough.
cable1,2013,1-liner party of a US President,"

I don't know.",
birken,2013,use Tetris to paint a picture,"

This program prints out a figure on the screen. It uses the C programming language to accomplish this task. The figure it prints out is determined by the data given to it as input.",Wrong!
maffiodo2,2014,ASCII art 1-line converter,"

I don't know.",
endoh2,2014,ASCII to DNA transcoder,"

This program prints out a string of characters to the screen. It prints out four possible combinations of the characters ""ACGT"" and ""TGCA"" depending on the value of the variable ""x"".",Close enough.
deak,2014,CPP and C99 abuse,"

I don't know.",
vik,2014,Morse audio transcoder,"

I don't know.",
sinon,2014,optimizer-controlled shooter game,"

I don't know.",
skeggs,2014,dynamic library abusing game,"

I don't know.",
maffiodo1,2014,homage to a popular game,"

This program is a game written in C language. It is a variant of the classic game of Pong, where the user has to use the left and right arrow keys to move the paddle and hit the ball in order to gain points. The program also includes audio and video components.",Close enough!
endoh1,2014,QR encoder,"

I don't know.",
wiedijk,2014,Y combinator,"

I don't know.",
morgan,2014,make clone,"

I don't know.",
birken,2014,Klingon web server,"

This program is a server-client program that implements a game. The server is initialized with a set of values, including a port number, and then it waits for a connection from the client. Once a connection is established, the server and client exchange information, such as the current game state, and the client can then send commands to the server to make changes to the game. The server then updates the game accordingly and sends the updated state back to the client.",Wrong!
endoh2,2015,hidden text quine,"

I don't know.",
endoh4,2015,visual factorization,"

I don't know.",
endoh3,2015,1984/mullender emulator,"

This program is a piece of code written in C that defines a constructor function, which is then used to execute various instructions. The program is likely used to perform various tasks, such as writing data to files or to the console.",Wrong!
yang,2015,"text encoder with sea star pattern, varies with C flavor","

I don't know.",
duble,2015,handwriting with Braille,"

This program is a C program that prints out ""hello world!"" when executed.",Wrong!
mills2,2015,uncompress,"

I don't know.",
burton,2015,hex/decimal calculator,"

I don't know.",
endoh1,2015,reaction-diffusion system HTTP server,"

I don't know.",
hou,2015,MD5 without integers,"

I don't know.",
dogon,2015,X11 Minecraft demo,"

I dont know.",
muth,2015,preprocessor Turing engine,"

I don't know.",
schweikhardt,2015,Collatz bignum computation,"

This program appears to be a program written in C language that performs binary operations on a string. It takes in a string of characters and performs various operations on the characters, such as shifting bits, calculating modulo, etc. The program then prints the result of the operations.",Wrong!
howe,2015,diff tool,"

This program is a diff utility which compares two files and prints out the differences between them. It uses the ""diff"" algorithm to compare the two files and prints out the differences between them.",Close enough.
mills1,2015,flappy bird,"

This program appears to be a game written in C. It uses the Curses library to create a terminal-based game. The game involves the user controlling a character with the arrow keys and navigating obstacles. The game also keeps track of the user's highest score.",Wrong!
